TERM,DEFINITION ,ERROR SYMPTOMS,TROUBLESHOOTING,PRIMARY CATEGORY,SUB CATEGORY,CORE,CORE 1: DOMAIN,CORE 2: DOMAIN,Timestamp
Changing: SSID,"Modifying the Service Set Identifier (the broadcasted name of a wireless network) to something other than the manufacturer default (e.g., ""Linksys"" or ""Netgear"").",Network being easily targeted by attackers who know the default security vulnerabilities of common router brands.,"Access the wireless router's administrative page; find the Wireless/WLAN (Wireless Local Area Network) settings; update the SSID to a unique, non-identifying name.",Networking,Wireless Security,CORE 2,,SECURITY,6/7/2026 0:00:00
Channel bonding,"A technique used in 802.11 standards to increase data throughput by combining multiple wireless channels into a single, wider channel.","Intermittent performance degradation in congested environments, as bonded channels are more susceptible to radio frequency interference.","Check the router/AP (Access Point) settings; if interference is high, switch from bonded channels to a single channel to increase stability.",Networking,Wireless Networking,CORE 1,NETWORKING,,6/7/2026 0:00:00
"Cheat sheets, exam preparation","Concise study aids containing high-density information like ports, cable standards, and command-line syntax for quick review.",Overwhelmed during study sessions; difficulty memorizing broad tables of specifications.,Create custom cheat sheets by summarizing the most difficult topics; use these as the final review tool to consolidate memory before the exam.,Professional Best Practices,Certification Preparation,CORE 1 & 2,ALL,ALL,6/7/2026 0:00:00
"Checklists, user",Standardized lists of tasks and verification steps that end-users follow to complete processes or troubleshoot minor issues.,"High help-desk ticket volume for simple, repetitive problems that could be resolved by the user.","Develop clear, visual checklists for common tasks; distribute them via email, internal intranet pages, or physical laminated cards near the hardware.",Operational Procedures,Documentation,CORE 2,,OPERATIONAL PROCEDURES,6/7/2026 0:00:00
Chipsets,"A set of electronic components on the motherboard that manages data flow between the CPU, RAM, storage, and other peripherals.","System instability, inability to use high-speed I/O (Input/Output) ports, or failure to recognize hardware components.",Check the manufacturer website for the latest chipset drivers; ensure the motherboard firmware (BIOS/UEFI) is current.,Hardware,Motherboard Components,CORE 1,HARDWARE,,6/7/2026 0:00:00
Chkdsk command,"The ""Check Disk"" command is a Windows utility used to verify the file system integrity of a volume and fix logical file system errors.","Windows reporting disk corruption, slow file access, or ""Bad sectors"" warnings.",Run “chkdsk C: /f /r” from an elevated Command Prompt to fix file system errors and attempt to recover data from bad sectors.,Operating Systems,System Maintenance,CORE 2,,OPERATING SYSTEMS TROUBLESHOOTING,6/7/2026 0:00:00
Chmod command,Change Mode is a Linux command used to change the file system mode (permissions) of a file or directory.,Permission denied when trying to execute or modify a file.,Use “chmod +x filename” to make a script executable or “chmod 755 filename” to set appropriate read/write/execute permissions.,Operating Systems,Linux CLI,CORE 2,,OPERATING SYSTEMS,6/7/2026 0:00:00
Chown command,Change Owner is a Linux command used to change the user and/or group ownership of a file or directory.,Inability to manage or edit files even if permissions seem correct; files owned by the wrong user account.,Use “chown username:groupname filename” to assign the correct owner and group to the file.,Operating Systems,Linux CLI,CORE 2,,OPERATING SYSTEMS,6/7/2026 0:00:00
Cd command: Linux,"A shell command used to change the current working directory in a Linux environment, which is the base Operating System (OS) for many servers and embedded devices.",Receiving 'bash: cd: [directory]: No such file or directory' or 'Permission denied' when attempting to navigate to a specific file path.,"Verify the directory name exists using the 'ls' (list) command, ensure the user has execute permissions for the target directory, or provide the full path starting from the root directory ('/').",Operating Systems,Command Line Interface (CLI),CORE 2,,OPERATING SYSTEMS,6/7/2026 0:00:00
Cd command: Windows 10,A built-in command prompt utility that allows users to navigate between folders and drives within the Windows file system.,Encountering 'The system cannot find the path specified' or being unable to switch drives without using the '/d' switch.,Use the 'cd /d [drive:][path]' command to switch both the drive and the folder simultaneously; ensure the path is correctly typed and does not exceed maximum character limits.,Operating Systems,Command Line Interface (CLI),CORE 2,,OPERATING SYSTEMS,6/7/2026 0:00:00
Chrome OS,"A lightweight, cloud-centric Operating System (OS) based on the Linux kernel, designed primarily for web-based applications and thin-client computing.","Browser freezing, inability to connect to Google services, or failure to update the firmware/OS version.","Perform a Powerwash (factory reset) via settings, check network connectivity, or verify updates by navigating to 'Settings > About ChromeOS > Check for updates.'",Operating Systems,Specialized Operating Systems,CORE 2,,OPERATING SYSTEMS,6/7/2026 0:00:00
Chrome OS: Downloading,"The process of retrieving files or applications from the internet onto a Chrome OS device, often managed through the Chrome Web Store or Google Play Store.","Download failures, corrupted file errors, or 'insufficient storage' warnings.","Clear the browser cache, ensure adequate local storage space, or check for restricted network settings or firewall rules preventing external downloads.",Operating Systems,Application Management,CORE 2,,OPERATING SYSTEMS,6/7/2026 0:00:00
Chrome OS: Settings,"The centralized control panel in Chrome OS for configuring network connections, display, privacy, and account preferences.",Inability to change system configurations or the settings menu failing to launch when requested.,"Attempt a hard restart of the hardware, clear the browser cache, or perform a factory reset if the settings interface remains unresponsive.",Operating Systems,System Configuration,CORE 2,,OPERATING SYSTEMS,6/7/2026 0:00:00
Chromium: Downloading,The process of downloading the open-source browser project that serves as the foundation for Google Chrome and other web browsers.,"Software incompatibility, installation errors, or incomplete file downloads.","Verify the source URL is legitimate, ensure the local system meets all dependencies, and use the 'sudo apt install' command on Linux-based distributions to resolve package requirements.",Operating Systems,Software Installation,CORE 2,,OPERATING SYSTEMS,6/7/2026 0:00:00
CIA triad,"A foundational model for Information Security (InfoSec) consisting of three pillars: Confidentiality (data is private), Integrity (data is accurate/unaltered), and Availability (systems are accessible).","Data breaches (Confidentiality loss), unauthorized data modification (Integrity loss), or system downtime (Availability loss).","Conduct a risk assessment: use encryption for confidentiality, implement hashing/checksums for integrity, and establish redundant hardware/failover systems for availability.",Network Security & Access Control,Security Principles,CORE 2,,SECURITY,6/7/2026 0:00:00
